Call of Duty: Modern Warfare 3, X360, 2011, Shooter, Activision, 9.03, 0.13, 4.28, 1.32, 14.76
Call of Duty: Black Ops, X360, 2010, Shooter, Activision, 9.67, 0.11, 3.73, 1.13, 14.64
Call of Duty: Black Ops 3, PS4, 2015, Shooter, Activision, 5.77, 0.35, 5.81, 2.31, 14.239999999999998
Call of Duty: Black Ops II, PS3, 2012, Shooter, Activision, 4.99, 0.65, 5.88, 2.52, 14.040000000000001
Call of Duty: Black Ops II, X360, 2012, Shooter, Activision, 8.25, 0.07, 4.3, 1.12, 13.74
Call of Duty: Modern Warfare 2, X360, 2009, Shooter, Activision, 8.52, 0.08, 3.63, 1.29, 13.52
Call of Duty: Modern Warfare 3, PS3, 2011, Shooter, Activision, 5.54, 0.49, 5.82, 1.62, 13.47
Call of Duty: Black Ops, PS3, 2010, Shooter, Activision, 5.98, 0.48, 4.44, 1.83, 12.73
Call of Duty: Modern Warfare 2, PS3, 2009, Shooter, Activision, 4.99, 0.38, 3.69, 1.63, 10.690000000000001
Call of Duty: Ghosts, X360, 2013, Shooter, Activision, 6.72, 0.04, 2.63, 0.82, 10.209999999999999
Call of Duty: Ghosts, PS3, 2013, Shooter, Activision, 4.09, 0.38, 3.73, 1.38, 9.579999999999998
Call of Duty 4: Modern Warfare, X360, 2007, Shooter, Activision, 5.91, 0.13, 2.38, 0.9, 9.32
Call of Duty: Advanced Warfare, PS4, 2014, Shooter, Activision, 2.8, 0.14, 3.3, 1.37, 7.609999999999999
Call of Duty: World at War, X360, 2008, Shooter, Activision, 4.79, 0.0, 1.9, 0.69, 7.38
Call of Duty: Black Ops 3, XOne, 2015, Shooter, Activision, 4.52, 0.01, 2.09, 0.67, 7.289999999999999
Call of Duty 4: Modern Warfare, PS3, 2007, Shooter, Activision, 3.1, 0.28, 2.3, 1.04, 6.720000000000001
World of Warcraft, PC, 2004, Role-Playing, Activision, 0.07, 0.0, 6.21, 0.0, 6.28
Destiny, PS4, 2014, Shooter, Activision, 2.49, 0.16, 2.05, 0.96, 5.66
Call of Duty: World at War, PS3, 2008, Shooter, Activision, 2.72, 0.0, 1.87, 0.84, 5.43
Diablo III, PC, 2012, Role-Playing, Activision, 2.43, 0.0, 2.15, 0.62, 5.2
