Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1, LEGO Indiana Jones 2: The Adventure Continues, PS3, 2009, Action, Activision, 0.47, 0.0, 0.3, 0.13, 0.8999999999999999
2, Glover, N64, 1998, Platform, Hasbro Interactive, 0.72, 0.0, 0.17, 0.01, 0.9
3, MX vs. ATV Reflex, PS3, 2009, Racing, THQ, 0.52, 0.0, 0.26, 0.12, 0.9
4, DJ Hero, PS3, 2009, Misc, Activision, 0.42, 0.0, 0.34, 0.14, 0.9
5, The Simpsons Game, PS3, 2007, Action, Electronic Arts, 0.38, 0.0, 0.37, 0.15, 0.9
6, Mini-Yonku Shining Scorpion: Let's & Go!!, SNES, 1996, Racing, ASCII Entertainment, 0.0, 0.9, 0.0, 0.0, 0.9
7, SOCOM 4: U.S. Navy SEALs, PS3, 2011, Shooter, Sony Computer Entertainment, 0.66, 0.04, 0.12, 0.08, 0.9
8, Burnout Revenge, PS2, 2005, Racing, Electronic Arts, 0.75, 0.0, 0.03, 0.12, 0.9
9, Buzz! Quiz TV, PS3, 2008, Misc, Sony Computer Entertainment, 0.28, 0.0, 0.48, 0.14, 0.9
10, We Ski & Snowboard, Wii, 2008, Sports, Atari, 0.38, 0.15, 0.29, 0.08, 0.9
11, Destruction Derby, PS, 1995, Racing, Psygnosis, 0.5, 0.0, 0.34, 0.06, 0.9
12, TouchMaster 2, DS, 2008, Puzzle, Midway Games, 0.3, 0.0, 0.49, 0.1, 0.8899999999999999
13, Crysis 3, PS3, 2013, Shooter, Electronic Arts, 0.26, 0.03, 0.43, 0.18, 0.9
14, 3Xtreme, PS, 1999, Action, 989 Studios, 0.5, 0.0, 0.34, 0.06, 0.9
15, Hot Shots Tennis, PS2, 2006, Sports, Sony Computer Entertainment, 0.17, 0.55, 0.13, 0.05, 0.9
16, Sonic Heroes, XB, 2003, Platform, Sega, 0.41, 0.01, 0.43, 0.05, 0.8999999999999999
17, Resistance: Retribution, PSP, 2009, Shooter, Sony Computer Entertainment, 0.27, 0.05, 0.36, 0.22, 0.9
18, Tiger Woods PGA Tour 12: The Masters, PS3, 2011, Sports, Electronic Arts, 0.52, 0.0, 0.26, 0.12, 0.9
19, Star Wars: The Force Unleashed, DS, 2008, Action, LucasArts, 0.51, 0.0, 0.29, 0.09, 0.89
20, Madden NFL 99, N64, 1998, Sports, Electronic Arts, 0.84, 0.0, 0.05, 0.01, 0.9
21, Spider-Man 3, PS2, 2007, Platform, Activision, 0.74, 0.01, 0.03, 0.12, 0.9
22, James Bond 007: Agent Under Fire, XB, 2002, Shooter, Electronic Arts, 0.65, 0.0, 0.22, 0.03, 0.9
23, Samba De Amigo, Wii, 2008, Misc, Sega, 0.42, 0.01, 0.37, 0.1, 0.8999999999999999
24, The Elder Scrolls Online, PC, 2014, Role-Playing, Bethesda Softworks, 0.32, 0.0, 0.48, 0.09, 0.8899999999999999
25, Pure, PS3, 2008, Racing, Disney Interactive Studios, 0.42, 0.0, 0.33, 0.14, 0.89
26, FIFA Soccer 09 All-Play, Wii, 2008, Sports, Electronic Arts, 0.29, 0.0, 0.52, 0.09, 0.8999999999999999
27, Fossil Fighters, DS, 2008, Role-Playing, Nintendo, 0.84, 0.0, 0.0, 0.06, 0.8999999999999999
28, LittleBigPlanet Karting, PS3, 2012, Action, Sony Computer Entertainment, 0.42, 0.01, 0.32, 0.15, 0.8999999999999999
29, X-Men Legends, XB, 2004, Role-Playing, Activision, 0.62, 0.0, 0.24, 0.04, 0.8999999999999999
30, NBA Live 2005, XB, 2004, Sports, Electronic Arts, 0.81, 0.0, 0.05, 0.04, 0.9
31, Harry Potter: Quidditch World Cup, PS2, 2003, Sports, Electronic Arts, 0.44, 0.0, 0.34, 0.11, 0.89
32, The Biggest Loser: Ultimate Workout, X360, 2010, Sports, THQ, 0.73, 0.0, 0.1, 0.06, 0.89
33, Madagascar, GBA, 2005, Platform, Activision, 0.62, 0.0, 0.24, 0.03, 0.89
