Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1, Wii Sports, Wii, 2006, Sports, Nintendo, 41.49, 3.77, 29.02, 8.46, 82.74000000000001
2, Mario Kart Wii, Wii, 2008, Racing, Nintendo, 15.85, 3.79, 12.88, 3.31, 35.83
3, Wii Sports Resort, Wii, 2009, Sports, Nintendo, 15.75, 3.28, 11.01, 2.96, 33.0
4, Wii Play, Wii, 2006, Misc, Nintendo, 14.03, 2.93, 9.2, 2.85, 29.009999999999998
5, New Super Mario Bros. Wii, Wii, 2009, Platform, Nintendo, 14.59, 4.7, 7.06, 2.26, 28.61
6, Wii Fit, Wii, 2007, Sports, Nintendo, 8.94, 3.6, 8.03, 2.15, 22.72
7, Wii Fit Plus, Wii, 2009, Sports, Nintendo, 9.09, 2.53, 8.59, 1.79, 22.0
8, Super Smash Bros. Brawl, Wii, 2008, Fighting, Nintendo, 6.75, 2.66, 2.61, 1.02, 13.04
9, Super Mario Galaxy, Wii, 2007, Platform, Nintendo, 6.16, 1.2, 3.4, 0.76, 11.52
10, Just Dance 3, Wii, 2011, Misc, Ubisoft, 6.05, 0.0, 3.15, 1.07, 10.27
11, Just Dance 2, Wii, 2010, Misc, Ubisoft, 5.84, 0.01, 2.89, 0.78, 9.52
12, Wii Party, Wii, 2010, Misc, Nintendo, 1.79, 2.49, 3.53, 0.68, 8.49
13, Mario Party 8, Wii, 2007, Misc, Nintendo, 3.81, 1.58, 2.3, 0.73, 8.42
14, Mario & Sonic at the Olympic Games, Wii, 2007, Sports, Sega, 2.58, 0.66, 3.9, 0.91, 8.05
15, Super Mario Galaxy 2, Wii, 2010, Platform, Nintendo, 3.66, 0.98, 2.42, 0.64, 7.7
16, The Legend of Zelda: Twilight Princess, Wii, 2006, Action, Nintendo, 3.83, 0.6, 2.19, 0.7, 7.32
17, Just Dance, Wii, 2009, Misc, Ubisoft, 3.51, 0.0, 3.03, 0.73, 7.27
18, Just Dance 4, Wii, 2012, Misc, Ubisoft, 4.14, 0.0, 2.21, 0.56, 6.91
19, Zumba Fitness, Wii, 2010, Sports, 505 Games, 3.5, 0.0, 2.64, 0.67, 6.8100000000000005
20, Donkey Kong Country Returns, Wii, 2010, Platform, Nintendo, 3.25, 1.03, 1.84, 0.47, 6.59
21, LEGO Star Wars: The Complete Saga, Wii, 2007, Action, LucasArts, 3.66, 0.0, 1.63, 0.53, 5.82
22, Link's Crossbow Training, Wii, 2007, Shooter, Nintendo, 3.06, 0.29, 1.18, 0.46, 4.99
23, Animal Crossing: City Folk, Wii, 2008, Simulation, Nintendo, 1.87, 1.32, 1.12, 0.37, 4.680000000000001
24, Guitar Hero III: Legends of Rock, Wii, 2007, Misc, Activision, 3.06, 0.0, 1.12, 0.44, 4.62
25, Mario & Sonic at the Olympic Winter Games, Wii, 2009, Sports, Sega, 1.89, 0.22, 1.99, 0.48, 4.58
26, Michael Jackson: The Experience, Wii, 2010, Misc, Ubisoft, 2.67, 0.01, 1.35, 0.39, 4.42
27, The Legend of Zelda: Skyward Sword, Wii, 2011, Action, Nintendo, 2.14, 0.37, 1.2, 0.4, 4.11
28, Carnival Games, Wii, 2007, Misc, Take-Two Interactive, 2.13, 0.05, 1.5, 0.42, 4.1
29, EA Sports Active, Wii, 2009, Sports, Electronic Arts, 2.1, 0.06, 1.36, 0.4, 3.9200000000000004
30, Big Brain Academy: Wii Degree, Wii, 2007, Misc, Nintendo, 1.06, 0.41, 1.93, 0.43, 3.83
31, Mario & Sonic at the London 2012 Olympic Games, Wii, 2011, Sports, Sega, 1.14, 0.27, 1.91, 0.46, 3.7800000000000002
32, Just Dance 2014, Wii, 2013, Misc, Ubisoft, 1.98, 0.0, 1.47, 0.32, 3.77
33, Super Paper Mario, Wii, 2007, Platform, Nintendo, 1.98, 0.59, 0.88, 0.32, 3.77
34, Guitar Hero: World Tour, Wii, 2008, Misc, Activision, 2.33, 0.0, 0.97, 0.35, 3.65
35, Mario Party 9, Wii, 2012, Misc, Nintendo, 1.15, 0.76, 1.17, 0.24, 3.32
36, Wii Music, Wii, 2008, Misc, Nintendo, 1.36, 0.46, 1.13, 0.32, 3.27
37, LEGO Batman: The Videogame, Wii, 0, Action, Warner Bros. Interactive Entertainment, 1.86, 0.0, 1.02, 0.29, 3.17
38, Epic Mickey, Wii, 2010, Platform, Disney Interactive Studios, 2.06, 0.12, 0.64, 0.22, 3.04
39, WarioWare: Smooth Moves, Wii, 2006, Puzzle, Nintendo, 0.87, 0.73, 1.06, 0.26, 2.92
40, Cooking Mama: Cook Off, Wii, 2007, Simulation, 505 Games, 1.43, 0.05, 1.13, 0.3, 2.91
41, Zumba Fitness 2, Wii, 2011, Sports, Majesco Entertainment, 1.54, 0.0, 1.07, 0.28, 2.89
42, Skylanders: Spyro's Adventure, Wii, 2011, Action, Activision, 1.4, 0.0, 1.14, 0.31, 2.8499999999999996
43, Sonic and the Secret Rings, Wii, 2007, Platform, Sega, 1.24, 0.04, 1.2, 0.3, 2.7800000000000002
44, Skylanders Giants, Wii, 2012, Action, Activision, 1.56, 0.0, 0.88, 0.22, 2.66
45, Mario Strikers Charged, Wii, 2007, Sports, Nintendo, 1.07, 0.24, 1.06, 0.25, 2.62
