Kinect Adventures!, X360, 2010, Misc, Microsoft Game Studios, 14.97, 0.24, 4.94, 1.67, 21.82
Grand Theft Auto V, X360, 2013, Action, Take-Two Interactive, 9.63, 0.06, 5.31, 1.38, 16.38
Call of Duty: Modern Warfare 3, X360, 2011, Shooter, Activision, 9.03, 0.13, 4.28, 1.32, 14.76
Call of Duty: Black Ops, X360, 2010, Shooter, Activision, 9.67, 0.11, 3.73, 1.13, 14.64
Call of Duty: Black Ops II, X360, 2012, Shooter, Activision, 8.25, 0.07, 4.3, 1.12, 13.73
Call of Duty: Modern Warfare 2, X360, 2009, Shooter, Activision, 8.52, 0.08, 3.63, 1.29, 13.51
Halo 3, X360, 2007, Shooter, Microsoft Game Studios, 7.97, 0.13, 2.83, 1.21, 12.14
Grand Theft Auto IV, X360, 2008, Action, Take-Two Interactive, 6.76, 0.14, 3.1, 1.03, 11.02
Call of Duty: Ghosts, X360, 2013, Shooter, Activision, 6.72, 0.04, 2.63, 0.82, 10.21
Halo: Reach, X360, 2010, Shooter, Microsoft Game Studios, 7.03, 0.08, 1.98, 0.78, 9.88
Halo 4, X360, 2012, Shooter, Microsoft Game Studios, 6.63, 0.04, 2.36, 0.73, 9.76
Call of Duty 4: Modern Warfare, X360, 2007, Shooter, Activision, 5.91, 0.13, 2.38, 0.9, 9.32
Minecraft, X360, 2013, Misc, Microsoft Game Studios, 5.58, 0.02, 2.83, 0.77, 9.2
The Elder Scrolls V: Skyrim, X360, 2011, Role-Playing, Bethesda Softworks, 5.03, 0.1, 2.86, 0.85, 8.84
Call of Duty: World at War, X360, 2008, Shooter, Activision, 4.79, 0.0, 1.9, 0.69, 7.37
Battlefield 3, X360, 2011, Shooter, Electronic Arts, 4.46, 0.06, 2.13, 0.69, 7.34
Gears of War 2, X360, 2008, Shooter, Microsoft Game Studios, 4.15, 0.06, 1.92, 0.64, 6.76
Halo 3: ODST, X360, 2009, Shooter, Microsoft Game Studios, 4.34, 0.06, 1.35, 0.61, 6.36
Red Dead Redemption, X360, 2010, Action, Take-Two Interactive, 3.7, 0.09, 1.97, 0.57, 6.34
Kinect Sports, X360, 2010, Sports, Microsoft Game Studios, 3.92, 0.03, 1.78, 0.51, 6.24
Gears of War 3, X360, 2011, Shooter, Microsoft Game Studios, 4.05, 0.07, 1.62, 0.49, 6.24
Gears of War, X360, 2006, Shooter, Microsoft Game Studios, 3.54, 0.07, 1.9, 0.6, 6.11
Assassin's Creed, X360, 2007, Adventure, Ubisoft, 3.28, 0.07, 1.65, 0.55, 5.55
Forza Motorsport 3, X360, 2009, Racing, Microsoft Game Studios, 2.99, 0.1, 1.92, 0.51, 5.51
Assassin's Creed III, X360, 2012, Action, Ubisoft, 3.13, 0.03, 1.71, 0.44, 5.3
Assassin's Creed II, X360, 2009, Action, Ubisoft, 3.1, 0.08, 1.56, 0.51, 5.27
FIFA Soccer 13, X360, 2012, Action, Electronic Arts, 1.08, 0.03, 3.48, 0.58, 5.18
Fable III, X360, 2010, Role-Playing, Microsoft Game Studios, 3.59, 0.05, 1.11, 0.38, 5.13
Fallout 3, X360, 2008, Role-Playing, Bethesda Softworks, 3.39, 0.09, 1.03, 0.44, 4.96
Batman: Arkham City, X360, 2011, Action, Warner Bros. Interactive Entertainment, 2.99, 0.04, 1.31, 0.41, 4.76
Forza Motorsport 4, X360, 2011, Racing, Microsoft Game Studios, 2.08, 0.06, 2.04, 0.47, 4.64
Guitar Hero III: Legends of Rock, X360, 2007, Misc, Activision, 3.19, 0.01, 0.92, 0.42, 4.53
The Elder Scrolls IV: Oblivion, X360, 2006, Role-Playing, Take-Two Interactive, 2.82, 0.13, 1.05, 0.4, 4.39
FIFA 14, X360, 2013, Sports, Electronic Arts, 0.92, 0.01, 2.93, 0.46, 4.31
Call of Duty: Advanced Warfare, X360, 2014, Shooter, Activision, 2.75, 0.0, 1.18, 0.37, 4.31
Fable II, X360, 2008, Role-Playing, Microsoft Game Studios, 2.51, 0.11, 1.27, 0.41, 4.31
Assassin's Creed: Revelations, X360, 2011, Action, Ubisoft, 2.25, 0.04, 1.47, 0.43, 4.19
FIFA 12, X360, 2011, Sports, Electronic Arts, 0.84, 0.02, 2.79, 0.53, 4.19
Fallout: New Vegas, X360, 2010, Role-Playing, Bethesda Softworks, 2.65, 0.04, 1.06, 0.33, 4.08
Forza Motorsport 2, X360, 2007, Racing, Microsoft Game Studios, 2.35, 0.03, 1.28, 0.41, 4.06
Left 4 Dead 2, X360, 2009, Shooter, Electronic Arts, 2.67, 0.05, 0.89, 0.37, 3.99
LEGO Indiana Jones: The Original Adventures, X360, 2008, Action, Activision, 2.4, 0.0, 1.03, 0.36, 3.78
Battlefield 4, X360, 2013, Shooter, Electronic Arts, 2.14, 0.02, 1.08, 0.29, 3.53
FIFA Soccer 11, X360, 2010, Sports, Electronic Arts, 0.71, 0.02, 2.4, 0.4, 3.53
Left 4 Dead, X360, 2008, Shooter, Electronic Arts, 2.66, 0.05, 0.5, 0.3, 3.52
Resident Evil 5, X360, 2009, Action, Capcom, 2.11, 0.12, 0.94, 0.34, 3.51
Assassin's Creed: Brotherhood, X360, 2010, Action, Ubisoft, 2.84, 0.03, 0.39, 0.24, 3.5
Batman: Arkham Asylum, X360, 2009, Action, Eidos Interactive, 2.2, 0.02, 0.97, 0.31, 3.5
Battlefield: Bad Company 2, X360, 2010, Shooter, Electronic Arts, 2.09, 0.04, 1.02, 0.32, 3.48
Borderlands, X360, 2009, Shooter, Take-Two Interactive, 2.39, 0.03, 0.73, 0.29, 3.44
LEGO Batman: The Videogame, X360, 2008, Action, Warner Bros. Interactive Entertainment, 2.03, 0.0, 1.03, 0.32, 3.38
Assassin's Creed IV: Black Flag, X360, 2013, Action, Ubisoft, 1.9, 0.01, 1.14, 0.29, 3.34
Dance Central, X360, 2010, Misc, MTV Games, 2.15, 0.01, 0.77, 0.26, 3.19
Mass Effect 2, X360, 2010, Role-Playing, Electronic Arts, 1.99, 0.03, 0.82, 0.27, 3.11
FIFA 15, X360, 2014, Sports, Electronic Arts, 0.78, 0.0, 2.02, 0.3, 3.11
Borderlands 2, X360, 2012, Shooter, Take-Two Interactive, 1.89, 0.04, 0.91, 0.24, 3.07
Mass Effect 3, X360, 2012, Role-Playing, Electronic Arts, 1.94, 0.03, 0.86, 0.24, 3.07
Kung Fu Panda, X360, 2008, Action, Activision, 1.91, 0.0, 0.84, 0.29, 3.05
Far Cry 3, X360, 2012, Shooter, Ubisoft, 1.38, 0.02, 1.35, 0.28, 3.04
Saints Row 2, X360, 2008, Action, THQ, 1.94, 0.02, 0.8, 0.27, 3.03
NBA 2K13, X360, 2012, Sports, Take-Two Interactive, 2.6, 0.01, 0.21, 0.19, 3.0
Street Fighter IV, X360, 2009, Fighting, Capcom, 1.82, 0.15, 0.71, 0.26, 2.95
Mass Effect, X360, 2007, Role-Playing, Microsoft Game Studios, 1.83, 0.03, 0.8, 0.27, 2.93
Sega Superstars Tennis, X360, 2008, Sports, Sega, 1.75, 0.0, 0.86, 0.28, 2.9
Madden NFL 13, X360, 2012, Sports, Electronic Arts, 2.53, 0.0, 0.16, 0.17, 2.86
BioShock, X360, 2007, Shooter, Take-Two Interactive, 1.65, 0.05, 0.86, 0.28, 2.83
Madden NFL 10, X360, 2009, Sports, Electronic Arts, 2.52, 0.0, 0.09, 0.22, 2.83
Star Wars: The Force Unleashed, X360, 2008, Action, LucasArts, 1.74, 0.0, 0.8, 0.26, 2.8
Saints Row: The Third, X360, 2011, Action, THQ, 1.25, 0.07, 1.15, 0.3, 2.77
L.A. Noire, X360, 2011, Adventure, Take-Two Interactive, 1.52, 0.02, 0.94, 0.24, 2.72
Call of Duty 3, X360, 2006, Shooter, Activision, 1.49, 0.02, 0.93, 0.27, 2.71
Madden NFL 12, X360, 2011, Sports, Electronic Arts, 2.42, 0.0, 0.11, 0.16, 2.69
Madden NFL 11, X360, 2010, Sports, Electronic Arts, 2.38, 0.0, 0.12, 0.18, 2.69
Skate 3, X360, 2010, Sports, Electronic Arts, 1.46, 0.0, 0.98, 0.24, 2.68
Guitar Hero: World Tour, X360, 2008, Misc, Activision, 1.78, 0.0, 0.64, 0.25, 2.67
LEGO Star Wars: The Complete Saga, X360, 2007, Action, LucasArts, 1.53, 0.0, 0.87, 0.24, 2.64
Halo Wars, X360, 2009, Strategy, Microsoft Game Studios, 1.53, 0.04, 0.82, 0.24, 2.63
Medal of Honor, X360, 2010, Shooter, Electronic Arts, 1.55, 0.04, 0.81, 0.21, 2.62
FIFA Soccer 10, X360, 2009, Sports, Electronic Arts, 0.59, 0.01, 1.79, 0.23, 2.62
NBA 2K12, X360, 2011, Sports, Take-Two Interactive, 2.31, 0.01, 0.14, 0.16, 2.62
Ghostbusters: The Video Game (DS Version), X360, 2009, Action, Take-Two Interactive, 1.04, 0.03, 1.24, 0.27, 2.58
Dragon Age: Origins, X360, 2009, Role-Playing, Electronic Arts, 1.76, 0.03, 0.56, 0.22, 2.57
Madden NFL 09, X360, 2008, Sports, Electronic Arts, 2.21, 0.0, 0.12, 0.2, 2.54
Marvel: Ultimate Alliance, X360, 2006, Role-Playing, Activision, 2.29, 0.0, 0.02, 0.19, 2.5
Pure, X360, 2008, Racing, Disney Interactive Studios, 1.38, 0.0, 0.85, 0.25, 2.48
Rock Band, X360, 0, Misc, Electronic Arts, 1.93, 0.0, 0.34, 0.21, 2.48
NBA 2K14, X360, 2013, Sports, Take-Two Interactive, 2.1, 0.0, 0.2, 0.17, 2.47
Halo: Combat Evolved Anniversary, X360, 2011, Shooter, Microsoft Game Studios, 1.44, 0.04, 0.73, 0.22, 2.44
Tom Clancy's Rainbow Six: Vegas 2, X360, 2008, Shooter, Ubisoft, 1.56, 0.02, 0.61, 0.23, 2.42
Zumba Fitness, X360, 2010, Sports, 505 Games, 1.74, 0.0, 0.48, 0.18, 2.39
Dead Island, X360, 2011, Action, Deep Silver, 1.48, 0.0, 0.71, 0.2, 2.39
Kinect: Disneyland Adventures, X360, 2011, Misc, Microsoft Game Studios, 1.73, 0.02, 0.46, 0.18, 2.38
Madden NFL 08, X360, 2007, Sports, Electronic Arts, 2.18, 0.0, 0.01, 0.18, 2.37
Kinect Sports: Season Two, X360, 2011, Sports, Microsoft Game Studios, 1.38, 0.02, 0.74, 0.22, 2.36
Midnight Club: Los Angeles, X360, 2008, Racing, Take-Two Interactive, 1.68, 0.01, 0.46, 0.2, 2.35
The Sims 3, X360, 2010, Simulation, Electronic Arts, 1.27, 0.0, 0.86, 0.2, 2.33
LEGO Marvel Super Heroes, X360, 2013, Action, Warner Bros. Interactive Entertainment, 1.24, 0.0, 0.85, 0.21, 2.3
Need for Speed: Hot Pursuit, X360, 2010, Racing, Electronic Arts, 1.03, 0.0, 0.98, 0.21, 2.22
BioShock 2, X360, 2010, Shooter, Take-Two Interactive, 1.45, 0.02, 0.55, 0.19, 2.21
Rock Band 2, X360, 2008, Misc, Electronic Arts, 1.78, 0.0, 0.24, 0.18, 2.2
Guitar Hero II, X360, 2007, Misc, Activision, 2.01, 0.0, 0.02, 0.17, 2.2
Saints Row, X360, 2006, Action, THQ, 1.17, 0.02, 0.78, 0.22, 2.19
Madden NFL 25, X360, 2013, Sports, Electronic Arts, 1.97, 0.0, 0.07, 0.13, 2.18
Final Fantasy XIII, X360, 2010, Role-Playing, Square Enix, 1.27, 0.01, 0.68, 0.2, 2.17
Mortal Kombat, X360, 2011, Fighting, Warner Bros. Interactive Entertainment, 1.63, 0.0, 0.33, 0.15, 2.11
Portal 2, X360, 2011, Shooter, Valve Software, 1.41, 0.01, 0.51, 0.17, 2.1
Dead Rising, X360, 2006, Action, Capcom, 1.16, 0.08, 0.65, 0.2, 2.09
NBA 2K11, X360, 2010, Action, Take-Two Interactive, 1.84, 0.01, 0.12, 0.13, 2.09
UFC 2009 Undisputed, X360, 2009, Fighting, THQ, 1.48, 0.0, 0.39, 0.19, 2.07
Need for Speed: ProStreet, X360, 2007, Racing, Electronic Arts, 1.04, 0.01, 0.8, 0.22, 2.06
Tom Clancy's Splinter Cell: Conviction, X360, 2010, Action, Ubisoft, 1.2, 0.04, 0.63, 0.19, 2.06
PGR4 - Project Gotham Racing 4, X360, 2007, Racing, Microsoft Game Studios, 0.48, 0.02, 1.29, 0.25, 2.05
Dance Central 2, X360, 2011, Misc, Microsoft Game Studios, 1.45, 0.01, 0.42, 0.16, 2.04
Just Dance 3, X360, 2011, Misc, Ubisoft, 1.47, 0.0, 0.4, 0.16, 2.03
Call of Duty 2, X360, 2005, Shooter, Activision, 1.81, 0.01, 0.05, 0.15, 2.02
Madden NFL 15, X360, 2014, Sports, Electronic Arts, 1.76, 0.0, 0.09, 0.17, 2.02
Forza Horizon, X360, 2012, Racing, Microsoft Game Studios, 0.82, 0.04, 0.98, 0.18, 2.02
Resident Evil 6, X360, 2012, Shooter, Capcom, 1.11, 0.07, 0.63, 0.16, 1.98
BioShock Infinite, X360, 2013, Shooter, Take-Two Interactive, 1.22, 0.02, 0.57, 0.15, 1.96
Tom Clancy's Rainbow Six: Vegas, X360, 2006, Shooter, Ubisoft, 1.09, 0.02, 0.65, 0.2, 1.96
Destiny, X360, 2014, Shooter, Activision, 1.3, 0.0, 0.49, 0.16, 1.95
FIFA Soccer 09, X360, 2008, Sports, Electronic Arts, 0.49, 0.01, 1.26, 0.18, 1.94
Batman: Arkham Origins, X360, 2013, Action, Warner Bros. Interactive Entertainment, 1.15, 0.0, 0.61, 0.17, 1.93
Mortal Kombat vs. DC Universe, X360, 2008, Fighting, Midway Games, 1.53, 0.0, 0.24, 0.16, 1.93
Tomb Raider (2013), X360, 2013, Action, Square Enix, 0.86, 0.01, 0.87, 0.17, 1.92
Need for Speed: Shift, X360, 2009, Racing, Electronic Arts, 0.73, 0.01, 0.97, 0.22, 1.92
The Orange Box, X360, 2007, Shooter, Electronic Arts, 1.09, 0.02, 0.54, 0.17, 1.83
Madden NFL 07, X360, 2006, Sports, Electronic Arts, 1.66, 0.01, 0.0, 0.13, 1.8
Kinect Star Wars, X360, 2012, Action, Microsoft Game Studios, 1.05, 0.03, 0.57, 0.14, 1.78
Hitman: Absolution, X360, 2012, Action, Square Enix, 0.68, 0.01, 0.9, 0.17, 1.76
Call of Duty: Black Ops 3, X360, 2015, Shooter, Activision, 1.11, 0.0, 0.48, 0.16, 1.76
Crackdown, X360, 2007, Shooter, Microsoft Game Studios, 1.0, 0.03, 0.54, 0.18, 1.75
Dishonored, X360, 2012, Action, Bethesda Softworks, 1.06, 0.01, 0.52, 0.14, 1.73
Saints Row IV, X360, 2013, Action, Deep Silver, 1.01, 0.01, 0.53, 0.14, 1.69
FIFA 16, X360, 2015, Sports, Electronic Arts, 0.55, 0.0, 1.01, 0.13, 1.69
Need For Speed: Undercover, X360, 2008, Racing, Electronic Arts, 0.79, 0.01, 0.71, 0.18, 1.69
LEGO Batman 2: DC Super Heroes, X360, 2012, Action, Warner Bros. Interactive Entertainment, 0.9, 0.0, 0.64, 0.15, 1.68
Max Payne 3, X360, 2012, Shooter, Take-Two Interactive, 0.86, 0.01, 0.64, 0.14, 1.66
Need for Speed Carbon, X360, 2006, Racing, Electronic Arts, 0.76, 0.02, 0.7, 0.18, 1.66
Army of Two, X360, 2008, Shooter, Electronic Arts, 1.09, 0.02, 0.38, 0.16, 1.65
Kinectimals, X360, 2010, Simulation, Microsoft Game Studios, 1.02, 0.0, 0.48, 0.14, 1.64
Viva Pinata, X360, 2006, Simulation, Microsoft Game Studios, 0.45, 0.02, 0.96, 0.2, 1.63
NBA 2K15, X360, 2014, Sports, Take-Two Interactive, 1.33, 0.0, 0.14, 0.15, 1.63
Just Cause 2, X360, 2010, Action, Square Enix, 0.59, 0.02, 0.85, 0.17, 1.62
Rage, X360, 2011, Shooter, Bethesda Softworks, 0.82, 0.03, 0.61, 0.15, 1.62
Gears of War: Judgment, X360, 2013, Shooter, Microsoft Game Studios, 0.92, 0.03, 0.53, 0.13, 1.61
Far Cry 2, X360, 2008, Action, Ubisoft, 0.71, 0.02, 0.69, 0.18, 1.6
SoulCalibur IV, X360, 2008, Fighting, Ubisoft, 0.92, 0.07, 0.44, 0.15, 1.59
LEGO Harry Potter: Years 1-4, X360, 2010, Action, Warner Bros. Interactive Entertainment, 0.95, 0.0, 0.5, 0.14, 1.59
Need for Speed: Most Wanted, X360, 2012, Racing, Electronic Arts, 0.62, 0.01, 0.8, 0.15, 1.58
Mafia II, X360, 2010, Action, Take-Two Interactive, 0.84, 0.0, 0.56, 0.15, 1.55
Tom Clancy's Ghost Recon Advanced Warfighter, X360, 2006, Shooter, Ubisoft, 1.4, 0.02, 0.02, 0.1, 1.54
Dead Space 2, X360, 2011, Shooter, Electronic Arts, 0.94, 0.0, 0.45, 0.13, 1.52
LEGO Star Wars III: The Clone Wars, X360, 2011, Action, LucasArts, 0.84, 0.0, 0.54, 0.13, 1.51
Dead Rising 2, X360, 2010, Action, Capcom, 0.75, 0.09, 0.53, 0.12, 1.5
007: Quantum of Solace, X360, 2008, Action, Activision, 0.82, 0.01, 0.52, 0.14, 1.49
Fight Night Round 3, X360, 2006, Fighting, Electronic Arts, 1.33, 0.01, 0.03, 0.1, 1.47
Star Wars: The Force Unleashed II, X360, 2010, Action, LucasArts, 0.95, 0.0, 0.4, 0.12, 1.47
Tom Clancy's Ghost Recon: Future Soldier, X360, 2012, Shooter, Ubisoft, 0.93, 0.02, 0.4, 0.12, 1.46
Battlefield: Bad Company, X360, 2008, Shooter, Electronic Arts, 0.81, 0.04, 0.46, 0.15, 1.46
Homefront, X360, 2011, Shooter, THQ, 0.83, 0.02, 0.48, 0.12, 1.46
Diablo III, X360, 2013, Role-Playing, Activision, 0.89, 0.0, 0.44, 0.12, 1.45
WWE SmackDown vs Raw 2008, X360, 2007, Fighting, THQ, 0.92, 0.0, 0.38, 0.13, 1.44
Kinect Joy Ride, X360, 2010, Racing, Microsoft Game Studios, 0.92, 0.0, 0.4, 0.12, 1.44
Disney Infinity, X360, 2013, Action, Disney Interactive Studios, 0.96, 0.0, 0.37, 0.11, 1.43
Sonic's Ultimate Genesis Collection, X360, 2009, Misc, Sega, 0.85, 0.0, 0.46, 0.13, 1.43
Sonic Generations, X360, 2011, Platform, Sega, 0.71, 0.0, 0.57, 0.14, 1.42
Dead Space, X360, 2008, Action, Electronic Arts, 0.89, 0.0, 0.4, 0.13, 1.42
Fight Night Round 4, X360, 2009, Fighting, Electronic Arts, 0.95, 0.0, 0.34, 0.13, 1.41
Injustice: Gods Among Us, X360, 2013, Fighting, Warner Bros. Interactive Entertainment, 0.97, 0.0, 0.34, 0.11, 1.41
Deus Ex: Human Revolution, X360, 2011, Shooter, Square Enix, 0.76, 0.02, 0.48, 0.12, 1.39
Titanfall, X360, 2014, Shooter, Electronic Arts, 0.87, 0.02, 0.38, 0.11, 1.38
Need for Speed: The Run, X360, 2011, Action, Electronic Arts, 0.63, 0.0, 0.58, 0.15, 1.38
Burnout Paradise, X360, 2008, Racing, Electronic Arts, 0.63, 0.01, 0.58, 0.15, 1.36
Alan Wake, X360, 2010, Action, Microsoft Game Studios, 0.66, 0.05, 0.51, 0.13, 1.35
Devil May Cry 4, X360, 2008, Action, Capcom, 0.79, 0.08, 0.34, 0.13, 1.35
Crysis 2, X360, 2011, Action, Electronic Arts, 0.7, 0.02, 0.5, 0.12, 1.35
FIFA Soccer 08, X360, 2007, Sports, Electronic Arts, 0.31, 0.01, 0.89, 0.14, 1.35
Lost Planet: Extreme Condition, X360, 2006, Shooter, Capcom, 1.09, 0.1, 0.04, 0.11, 1.34
Your Shape: Fitness Evolved, X360, 2010, Sports, Ubisoft, 0.79, 0.0, 0.42, 0.11, 1.33
Skylanders SWAP Force, X360, 2013, Platform, Activision, 0.86, 0.0, 0.36, 0.11, 1.33
UFC Undisputed 2010, X360, 2010, Fighting, THQ, 0.9, 0.0, 0.31, 0.11, 1.33
The LEGO Movie Videogame, X360, 2014, Action, Warner Bros. Interactive Entertainment, 0.69, 0.0, 0.52, 0.11, 1.32
Skylanders Giants, X360, 2012, Action, Activision, 0.75, 0.0, 0.45, 0.11, 1.32
The Beatles: Rock Band, X360, 2009, Misc, MTV Games, 0.97, 0.0, 0.23, 0.11, 1.31
Tekken 6, X360, 2009, Fighting, Namco Bandai Games, 0.71, 0.05, 0.42, 0.13, 1.31
[Prototype], X360, 2009, Action, Activision, 0.84, 0.0, 0.35, 0.12, 1.31
Need for Speed: Most Wanted, X360, 2005, Racing, Electronic Arts, 1.0, 0.02, 0.17, 0.1, 1.29
Watch Dogs, X360, 2014, Action, Ubisoft, 0.72, 0.01, 0.45, 0.11, 1.28
WWE '13, X360, 2012, Action, THQ, 0.72, 0.0, 0.45, 0.11, 1.28
NBA 2K9, X360, 2008, Sports, Take-Two Interactive, 1.0, 0.0, 0.16, 0.11, 1.27
WWE '12, X360, 2011, Fighting, THQ, 0.74, 0.0, 0.4, 0.12, 1.27
LEGO The Lord of the Rings, X360, 2012, Action, Warner Bros. Interactive Entertainment, 0.63, 0.0, 0.51, 0.11, 1.26
Guitar Hero: Aerosmith, X360, 2008, Misc, Activision, 1.0, 0.0, 0.14, 0.1, 1.23
Just Dance 4, X360, 2012, Misc, Ubisoft, 0.9, 0.0, 0.2, 0.08, 1.19
Your Shape: Fitness Evolved 2012, X360, 2011, Sports, Ubisoft, 0.7, 0.0, 0.37, 0.1, 1.17
